gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2016-03-14,0,1.0,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,1,2305,Kansas,94.46,South,1
mens,2016-03-14,0,1.0,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14958335,1,153,North Carolina,93.94,East,1
mens,2016-03-14,0,1.0,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,1,258,Virginia,92.46,Midwest,1
mens,2016-03-14,0,1.0,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08938092,1,127,Michigan State,91.84,Midwest,2
mens,2016-03-14,0,1.0,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,1,201,Oklahoma,89.96,West,2
mens,2016-03-14,0,1.0,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,1,222,Villanova,91.29,South,2
mens,2016-03-14,0,1.0,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.0444333,1,96,Kentucky,90.69,East,4
mens,2016-03-14,0,1.0,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,1,277,West Virginia,89.3,East,3
mens,2016-03-14,0,1.0,0.8419116,0.51862565,0.24470148,0.12956658,0.05802096,0.02684345,1,2509,Purdue,88.68,Midwest,5
mens,2016-03-14,0,1.0,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,1,2483,Oregon,88.0,West,1
mens,2016-03-14,0,1.0,0.88231513,0.5494919,0.24167014,0.12413686,0.05241442,0.02375483,1,245,Texas A&M,86.82,West,3
mens,2016-03-14,0,1.0,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.0181018,1,2752,Xavier,87.73,East,2
mens,2016-03-14,0,1.0,0.5143169,0.32042143,0.14781034,0.06042232,0.03637168,0.01783296,1,12,Arizona,89.04,South,6
mens,2016-03-14,0,1.0,0.84597916,0.54298653,0.26249249,0.12109972,0.04355837,0.01716773,1,150,Duke,87.33,West,4
mens,2016-03-14,0,1.0,0.79464229,0.42966905,0.13410495,0.06285836,0.03180373,0.01283992,1,120,Maryland,87.37,South,5
mens,2016-03-14,0,1.0,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01140497,1,84,Indiana,87.36,East,5
mens,2016-03-14,0,1.0,0.85764429,0.3619327,0.14119841,0.04926454,0.02537413,0.010445,1,2390,Miami (FL),87.05,South,3
mens,2016-03-14,0,1.0,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033866,1,66,Iowa State,86.5,Midwest,4
mens,2016-03-14,0,1.0,0.61274924,0.27071246,0.13099527,0.060489,0.02387947,0.01020742,1,239,Baylor,85.47,West,5
mens,2016-03-14,0,1.0,0.70010916,0.32721314,0.12683644,0.05881695,0.02138579,0.00850876,1,251,Texas,84.66,West,6
mens,2016-03-14,0,1.0,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00821315,1,254,Utah,86.64,Midwest,3
mens,2016-03-14,1,0.51707412,0.24479242,0.14752607,0.0671952,0.02713744,0.01567718,0.00733255,1,2724,Wichita State,86.59,South,11b
mens,2016-03-14,0,1.0,0.85542774,0.47614677,0.1086855,0.03999135,0.01902739,0.00718934,1,25,California,86.53,South,4
mens,2016-03-14,0,1.0,0.72194021,0.18532737,0.09020343,0.03229494,0.01590512,0.00623653,1,2294,Iowa,85.91,South,7
mens,2016-03-14,1,0.48292588,0.24089068,0.15016678,0.0637222,0.02406272,0.01207092,0.00482823,1,238,Vanderbilt,85.59,South,11a
mens,2016-03-14,0,1.0,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.00455993,1,2250,Gonzaga,85.96,Midwest,11
mens,2016-03-14,0,1.0,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396854,1,275,Wisconsin,84.75,East,7
mens,2016-03-14,0,1.0,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.00338949,1,87,Notre Dame,84.36,East,6
mens,2016-03-14,0,1.0,0.63662767,0.09951278,0.0528118,0.0208424,0.009286,0.00327233,1,41,Connecticut,85.32,South,9
mens,2016-03-14,0,1.0,0.60648609,0.18259449,0.08393883,0.03188932,0.00931018,0.00305516,1,2132,Cincinnati,83.7,West,9
mens,2016-03-14,0,1.0,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304313,1,2086,Butler,84.17,Midwest,9
mens,2016-03-14,0,1.0,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,1,2550,Seton Hall,84.46,Midwest,6
mens,2016-03-14,0,1.0,0.73443704,0.13989595,0.05707852,0.02168932,0.00567519,0.00169002,1,2670,Virginia Commonwealth,83.05,West,10
mens,2016-03-14,0,1.0,0.52355784,0.11287306,0.05315441,0.01567429,0.00449066,0.00140508,1,2168,Dayton,82.37,Midwest,7
mens,2016-03-14,0,1.0,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112681,1,183,Syracuse,82.69,Midwest,10
mens,2016-03-14,0,1.0,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111194,1,221,Pittsburgh,82.29,East,10
mens,2016-03-14,0,1.0,0.39351391,0.09322671,0.03568588,0.0112186,0.00263522,0.00071271,1,2603,Saint Joseph's,81.61,West,8
mens,2016-03-14,0,1.0,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069644,1,2507,Providence,82.48,East,9
mens,2016-03-14,0,1.0,0.29989084,0.09516434,0.02507946,0.0084253,0.00185985,0.00047572,1,2460,Northern Iowa,80.24,West,11
mens,2016-03-14,0,1.0,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045693,1,2617,Stephen F. Austin,80.98,East,14
mens,2016-03-14,0,1.0,0.36337233,0.03928262,0.01515909,0.00416723,0.00154824,0.00045187,1,38,Colorado,81.46,South,8
mens,2016-03-14,0,1.0,0.38725076,0.13930259,0.03700786,0.00980374,0.00193271,0.00044636,1,43,Yale,80.2,West,12
mens,2016-03-14,0,1.0,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040447,1,2641,Texas Tech,81.27,Midwest,8
mens,2016-03-14,1,0.46378293,0.15495831,0.03650961,0.01209639,0.00222762,0.0007156,0.00023798,1,202,Tulsa,79.93,East,11b
mens,2016-03-14,1,0.53621707,0.18883321,0.04683546,0.01622792,0.00313976,0.00082848,0.00023095,1,130,Michigan,79.57,East,11a
mens,2016-03-14,0,1.0,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.00016033,1,30,Southern California,81.4,East,8
mens,2016-03-14,0,1.0,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013448,1,2031,Arkansas-Little Rock,78.9,Midwest,12
mens,2016-03-14,0,1.0,0.20535771,0.06034051,0.00741602,0.00161258,0.00046164,0.00010352,1,2571,South Dakota State,78.64,South,12
mens,2016-03-14,0,1.0,0.27805979,0.04054921,0.00956073,0.00166625,0.00044736,9.409e-05,1,218,Temple,78.48,South,10
mens,2016-03-14,0,1.0,0.15402084,0.04699842,0.01008468,0.00219083,0.0003691,7.387e-05,1,350,North Carolina-Wilmington,77.72,West,13
mens,2016-03-14,0,1.0,0.26556296,0.02682859,0.00814584,0.00234282,0.00034214,6.004e-05,1,204,Oregon State,77.63,West,7
mens,2016-03-14,0,1.0,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,4.717e-05,1,314,Iona,78.22,Midwest,13
mens,2016-03-14,0,1.0,0.11768487,0.02813062,0.00456128,0.0009999,0.00014129,2.405e-05,1,2739,Green Bay,76.18,West,14
mens,2016-03-14,0,1.0,0.07469338,0.01518218,0.00196437,0.00054641,9.772e-05,1.912e-05,1,2619,Stony Brook,77.09,East,13
mens,2016-03-14,0,1.0,0.12316657,0.01629048,0.0016262,0.0003633,7.148e-05,1.527e-05,1,236,Chattanooga,76.6,East,12
mens,2016-03-14,0,1.0,0.14457226,0.03384366,0.00262335,0.00037461,8.129e-05,1.384e-05,1,62,Hawaii,78.02,South,13
mens,2016-03-14,0,1.0,0.12990083,0.027687,0.00311017,0.00039728,6.518e-05,1.236e-05,1,278,Fresno State,76.61,Midwest,14
mens,2016-03-14,0,1.0,0.14235571,0.01995303,0.00274466,0.00036017,7.373e-05,1.185e-05,1,2084,Buffalo,75.66,South,14
mens,2016-03-14,0,1.0,0.04141681,0.01194585,0.00320875,0.00082242,8.814e-05,1.159e-05,1,2934,Cal State Bakersfield,74.97,West,15
mens,2016-03-14,0,1.0,0.0514809,0.01348492,0.00288726,0.00036377,5.332e-05,9.12e-06,1,2393,Middle Tennessee,75.02,Midwest,15
mens,2016-03-14,0,1.0,0.03706028,0.00711099,0.00108673,0.00012474,2.259e-05,3.21e-06,1,2427,North Carolina-Asheville,74.17,South,15
mens,2016-03-14,0,1.0,0.05872659,0.00801166,0.00082059,5.054e-05,5.99e-06,8e-07,1,2692,Weber State,73.28,East,15
mens,2016-03-14,1,0.67226037,0.00903984,0.00175648,0.00013275,1.496e-05,1.58e-06,1.9e-07,1,526,Florida Gulf Coast,71.41,East,16a
mens,2016-03-14,1,0.51992211,0.01317002,0.00131777,0.00012177,9.26e-06,6.2e-07,5e-08,1,2582,Southern,67.96,West,16b
mens,2016-03-14,0,1.0,0.00972934,0.00089393,9.367e-05,6.61e-06,6.1e-07,4e-08,1,2046,Austin Peay,68.83,South,16
mens,2016-03-14,0,1.0,0.01742235,0.00193607,0.00010849,6.24e-06,3.5e-07,2e-08,1,2261,Hampton,68.61,Midwest,16
mens,2016-03-14,1,0.48007789,0.00995139,0.00082815,6.08e-05,3.68e-06,1.7e-07,1e-08,1,107,Holy Cross,66.85,West,16a
mens,2016-03-14,1,0.32773963,0.00242482,0.00028391,1.65e-05,1.45e-06,8e-08,0.0,1,161,Fairleigh Dickinson,66.72,East,16b
